jobtitle,description,extracted_skills,top_5_similar_jobs,top_5_similar_scores
project_delivery_officer,"<strong><u>Supporting Regional Delivery</u></strong><p><br/></p>You’ll spend the majority of your time on:<p><br/></p><ul><li>Effective delivery of the ambitions of the Schools White Paper including: timely and effective intervention, the school and trust improvement offer, free schools programme, Education Investment Areas and the academies programme.</li><li>Overseeing and supporting others across the region with a portfolio of cases with single and multi-academy trusts including:</li><li>Safeguarding - leading on Ofsted notifications, whistle-blower cases, assessing academies’ policies and procedures, and their compliance with statutory regulations and other guidance issued by the Secretary of State.</li><li>Non-financial governance, including identifying and assessing trust governance concerns, undertaking desk top assessments, seeking assurances, challenging non-compliance.</li><li>Intervening where non-financial breaches or non-compliance of the Academy Trust-Handbook are identified.</li><li>Being accessible to external stakeholders, providing support and challenge in a timely and considered way. This includes having a good understanding of the tools, support and guidance offered through the School Resource Management programme and how to help schools / trusts identify the best tools for their context.</li><li>Assessing and managing risk effectively on your cases, tackling risks and issues at an early stage and escalating complex or high-risk cases where appropriate.</li><li>Maintaining effective relationships with key stakeholders in the education sector, including multi-academy trusts, local authorities and maintained schools.</li><li>Maintaining accurate and timely records and management information to support effective governance and delivery.</li></ul><p><br/></p>You will also support the South West’s Director’s Office team by:<p><br/></p><ul><li>Triaging safeguarding and whistleblowing cases to ensure that they are directed to the right teams and are done so in line with our service level agreements.</li><li>Commissioning paperwork for key internal meetings, ensuring attendees are clear about expectations and provide input in a timely fashion.</li><li>Supporting new starters with induction by continually updating our resources to ensure that they are relevant and useful.</li><li>Providing ad hoc support to the senior leadership team to ensure they have the resources they need to do their jobs most effectively.</li></ul><p><br/></p>Depending on delivery priorities, you could also spend some of your time on:<p><br/></p><strong><u>Work Across Your Region And/or With Other Regions</u></strong><p><br/></p><ul><li>Supporting the effective delivery of work that cuts across regions and / or has national significance, e.g. contributing to a national portfolio work stream or Schools White Paper implementation</li></ul><p><br/></p>This could include contributing to briefing and advice on your work area to colleagues across the region or in other regions, monitoring progress and providing suggestions for continuous improvement.<p><br/></p>Please do click on the link to see and hear more:<p><br/></p>https://youtu.be/zVTszl1DpBc<p><br/></p>In addition, we are holding an information session on Tuesday 1 August at 4pm where you can speak to members of the Regions Group team about the role. If you interested in joining this session, please do confirm at RG.SW@education.gov.uk quoting the job reference and an invite will be sent to you.","safeguarding, governance, compliance, risk assessment, risk management, stakeholder management, relationship management, record keeping, data management, case management, triage, commissioning, induction, resource management, policy assessment, intervention, white paper implementation, education sector knowledge, trust improvement, academies programme, school resource management","policy_program_data_research_officers, governance_manager, unit_dealing_vice_president, manager_hr_business_partner, commercial_assurance_specialist_internal_audit","0.732, 0.709, 0.678, 0.659, 0.647"
lift_mechanic_experienced,"This job was posted by https://joblink.maine.gov : For more information, please see: https://joblink.maine.gov/ada/r/jobs/580272<br/><br/>Sunday River is seeking a full-time, year-round experienced Lift Mechanic to join the team. Lift Mechanics are responsible for maintaining, repairing and assisting in the operation of chairlifts across Sunday River's 8 peaks. Mechanics complete preventative maintenance, troubleshoot malfunctions and perform daily inspections and evaluations. The ideal candidate will enjoy working independently and in a team setting, be mechanically-minded, and works well under pressure.<br/><br/><strong><u>Responsibilities<br/></u></strong><ul><li>Assist the Lift Maintenance Manager with the operations and maintenance of the lifts.</li><li>Oversees the care and maintenance of equipment and tools, and ensures that all vehicles assigned are properly maintained.</li><li>Schedule maintenance around the needs of the lifts while in operation, keeping in mind the needs of the resort.</li><li>Assist with planning projects and ensuring that materials and equipment are available when needed.</li><li>Work with Lift Operations and assist with the training of the operators.</li><li>Conduct Daily, Weekly, Bi-weekly and Monthly inspections for any existing or potential problems, to maintain and repair lifts according to prescribed procedures and document as required, review and maintain documentation for such regularly.</li><li>Assist with the opening of lifts and make yourself available in areas that may require assistance or special needs and or repairs.</li><li>Become thoroughly familiar with the operation and maintenance of lifts based on the manufacturer’s manual and the codes regulating the lifts.</li><li>When mechanical problems are reported, locate and diagnose problems, plan and perform necessary repairs, and report major problems to the Lift Maintenance Manager.</li><li>Perform a variety of lift maintenance and construction tasks and projects.</li><li>Assist the Lift Maintenance Manager with completing written log sheets, work orders and daily log sheets.</li><li>Assist with Quality Assurance on all work performed on lifts.</li><li>Become thoroughly familiar with: Welding and fabricating, rigging, electrical schematics, blueprints, hydraulics, basic electrical skills, diesel and gas engines, hydrostatics, NDT process</li></ul>","lift maintenance, mechanical repair, preventative maintenance, troubleshooting, equipment inspection, equipment operation, documentation, welding, fabrication, rigging, electrical schematics, blueprint reading, hydraulics, electrical skills, diesel engines, gas engines, hydrostatics, NDT process, quality assurance","service_technician, maintenance_technician, field_diesel_mechanic_experienced, warehouse_worker, electrical_assembly_technician","0.837, 0.820, 0.789, 0.773, 0.761"
site_assistant_community_manager,"$21.63 - $24.04 / hour<p><br/></p><strong>Company</strong><p><br/></p>FirstService Residential leads the property management industry, with over 8,500 communities in the United States and Canada operating under our professional management services.<p><br/></p>FirstService provides competitive salaries, top benefits, and career training, continually investing in our associates’ professional development, setting the bar for exceptional service. Our associates enjoy an inclusive work environment and a rich culture of collaboration and mutual respect.<p><br/></p>Embark in a fulfilling career in property management with FirstService today.<p><br/></p>Position Summary<p><br/></p>The Community Administrative Assistant performs tasks directly related to property management and the general business operations of the Association, while providing administrative support to the Director of Community Management and Community Managers. The position is responsible for providing a wide variety of administrative services as well as assisting with the management of properties in accordance with company policies, procedures and standards. Superior customer service, time-management and conflict management skills are required. Attention to detail and the ability to manage multiple, sometimes competing, priorities are essential.<p><br/></p>Position Responsibilities <ul><li>Provides five-star customer service at all times by responding to telephone calls, email and other correspondence in a timely and courteous manner.</li><li>Provides administrative support to the Directors of Community Management including but not limited to: maintaining, outlook calendars, and contact lists, expense reports and reimbursements; mileage reporting, checking voicemails, etc. </li><li>Responsible for office management: schedules, organizes and coordinates department events, meetings, room setup for the division. </li><li>Provides administrative support to Community Managers: </li><li>Responsible for scheduling meeting locations and reservations for Community Manager for Annual meetings.</li><li>Prepares the name tags, place cards, organizes proxies and sign in sheets. Makes copies of meeting packs for the community board and annual meetings. </li><li>Prepares the board books for board members.</li><li>ACC – logs them into connect if needed; updates Acts as intermediary with owners/residents, vendors and staff to assist in prompt response to questions or problems.</li><ul><li>For assigned Community Managers, will review ACCs for completeness and handles the correspondence thru completion. </li><li>Reviews, directs and updates resident calls processed by the call center for all managers on a weekly basis to ensure calls are not overlooked. </li><li>Updates resident information and coordinates resident access to community websites. Utilizes electronic filing system and Connect to maintain accurate resident records. </li></ul><li>Distributes mass resident communications through the Community website. Sets up board meetings up in Connect Calendar and emails notice/agenda to owners.</li><li>Assists Community Managers with gathering of Vendor W-9 and insurance information.</li><li>Participates in corporate committees as assigned. </li><li>Troubleshoots computer/iPhone issues before opening an IT ticket if needed. </li><li>Scan and uploads board packets, annual meeting packets and minutes for all communities. </li><li>Assist with t planning and implementation of corporate events; provide back assistance as needed to the business center.</li><li>Provides coverage for the executive administrative assistant when out of the office. </li><li>Initial set up of new associations in Connect.</li><li>Provide vacation coverage to managers assisting with coding of invoices, call logs, and picking up voicemail message. </li><li>Prepares documents and check requests for filing with the various counties. </li><li>Provides research and reporting for different special projects. </li><li>Maintains reservation for all assigned pools and clubhouses. </li><li>Maintains and coordinates the gates for assigned communities</li><li>Responsible for the pool permits and organizes payments for all pools.</li><li>Responsible for assigning pool cards. Maintains the database during spring to facilitate a smooth process.</li><li>Organizes and distributes the pool cards and access systems. </li></ul><p><br/></p><strong>Operating Skills, Knowledge &amp; Abilities</strong><p><br/></p>Education/Training: High School Diploma or equivalent required. College degree preferred.<p><br/></p>Experience/Knowledge/Abilities: Must possess strong administrative background; prior administrative experience supporting a large team is highly desired. 3-5 years of related work experiences including contract administration and vendor management. Strong working knowledge of customer service principles and practices. Excellent interpersonal, office management and communication skills. Self-starter with excellent verbal and written communication skills. A detailed individual with strong ability to multi-task is required.<p><br/></p>Computer literacy: Working proficiency and working knowledge of Microsoft Office applications.<p><br/></p>Special Requirements: Physical demands include ability to lift up to 50 lbs; Standing, sitting, walking and occasional climbing. The employee is required to work at a personal computer for extended periods of time as well as talking on the phone for extended periods of time. Ability to work extended/flexible hours as need is required. Regular and predictable attendance.<p><br/></p>Vision Requirements: Constant need (66% to 100% of time) to complete forms, read and review reports, wide variety of correspondence, view computer screen. Frequent need to see small detail. Frequent need (33% to 66% of time) to see things clearly beyond arm’s reach (inspecting property, neighborhood survey)<p><br/></p>Hearing Requirements: Constant need (66% to 100%of time) to communicate over telephone and in person with vendors, corporate and resident staff, residents and prospects.<p><br/></p>Driving Requirements: Utilizes personal transportation to inspect properties and surrounding neighborhood, and attend meetings and training events. Reliable transportation required along with a valid Texas drivers license and insurance.<p><br/></p>Working Requirements: Usually indoor (66% to 100% of time).<p><br/></p>Reasoning Development:<p><br/></p><ul><li> Must be able to apply principles of logical thinking to a variety of practical situations and accurately follow standardized procedures that may occasionally call for minor deviations. Must be able to think rationally beyond a specific set of instructions.</li><li> Must be able to work at a fast pace, perform duties while under pressure, and meet deadlines in a timely manner, to interact/communicate with other associates, home owners, Board of Directors, Developers, builders and the public in a professional and pleasant manner.</li></ul><p><br/></p>The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of the job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.<p><br/></p>DISCLAIMER: This is not an all-inclusive job description; therefore, management has the right to assign or reassign schedules, duties and responsibilities to this job at any time.<p><br/></p>#I-OS1<p><br/></p>","customer service, administrative support, office management, event coordination, meeting scheduling, document preparation, vendor management, electronic filing, community website management, Connect software, IT troubleshooting, invoice coding, check requests, research, reporting, database management, access systems administration, Microsoft Office, contract administration, interpersonal communication, multitasking, time management, conflict management, attention to detail","associate_team_leader, aptitude_project_coordinator, senior_office_administrator, associate_team_leader, executive_administrator","0.807, 0.806, 0.805, 0.797, 0.793"
property_damage_insurance_solicitor,"of the best law firms, lawyers and support staff.","The job description provided is extremely minimal and doesn't contain enough information to extract any specific skill keywords. Without more details about job responsibilities, requirements, or qualifications, I cannot identify any legitimate skills to list.","technical_architect, middle_scrum_master, tram_driver_la_costa_glen, human_resources_safety_administrator, customer_success_intern","0.905, 0.889, 0.887, 0.884, 0.867"
procurement_lead,"<strong><u>About HelloFresh<br/><br/></u></strong>HelloFresh is on a mission to transform the way the world thinks about home cooking. Forget the hassle of supermarkets, or the tiresome process of planning your weekly meals - we deliver to your door all the ingredients, instructions and inspiration needed to make delicious meals at home, from scratch.<br/><br/>At just 10 years in, we’re the industry leader and have delivered hundreds of millions of meals to millions of households worldwide and are passionate about disrupting one of the last industries to go online - food and grocery.<br/><br/>But most importantly, it’s our incredible people who make HelloFresh what it is. We thrive on giving our employees an inclusive working environment, in which they have access to development opportunities and in which their voices are heard and valued every day. This helps us best reflect and serve our customers.<br/><br/>So, if you’re keen to join a growing, caring company which puts its people at the heart of what it does, look no further!<br/><br/><strong><u>About The Job<br/><br/></u></strong>As a <strong>Procurement Lead, Protein</strong> you will lead and execute sourcing activities while managing suppliers and delivering on new product onboarding for the protein category. You will bring specialist skills to one business area, running complex strategic tasks and leading smaller projects independently, with support from your manager.<br/><br/><strong><u>What You Will Be Doing<br/></u></strong><ul><li>Responsible for identifying and executing cost savings opportunities and securing supply/capacity for our protein portfolio</li><li>Optimise our ingredient supply network and support changes to improve customer experience</li><li>Lead vendor selection process and supplier negotiations to secure maximum value while taking into consideration total cost of ownership, service, and quality</li><li>Analyse and monitor market trends, supplier landscape and innovation/trends for respective categories</li><li>Collaborate with and support the Supply Chain, Technical, Operations, and Product teams in executing strategic initiatives activities (eg. reduction of quality error rates, reduction of Distribution Centre changeovers, etc.)</li><li>Delivering business change management and a growth mindset</li><li>Work with Technical and Supply Chain teams to resolve supply challenges</li><li>Lead and influence a variety of internal stakeholders within the business ensuring alignment across teams</li><li>Partner with our suppliers on value-creating solutions, ensuring relationship is maintained and further developed to improve the financials for both HelloFresh</li><li>Solve problems on-the-go in a fast-paced environment<br/></li></ul><strong><u>Who You Are<br/></u></strong><ul><li>Data-driven – You can organise, explore, and synthesise unstructured data into actionable insights to better inform operational decision-making.</li><li>Intellectually curious – You have an insatiable desire to understand how things work, why they work the way they do, and to consistently challenge the status quo.</li><li>Detail-oriented – You possess strong organisational skills and consistently demonstrate a methodical approach to all your work.</li><li>A self-starter – You are highly motivated and passionate. You’re eager to take on new projects without knowing exactly what you will uncover.</li><li>Agile – You thrive in fast-paced and dynamic environments and are comfortable working autonomously.</li><li>A critical thinker – You use logic to identify opportunities, evaluate alternatives, and synthesise and present critical information to solve complex problems.</li><li>An excellent communicator – able to communicate at all levels with clarity, poise, maturity and precision both written and verbal.</li><li>Collaborative - Work cross functionally with various teams to gather key inputs and able to work well with diverse opinions.</li><li>Dedicated to providing the best possible experience for the HelloFresh customer.</li><li>Have at least 2 years of strategic protein procurement experience</li><li>Quantitative and analytical experience (either through education or professional experience) including solid comfort in Google suite and or MS Office applications<br/></li></ul><strong><u>Upon Starting Your Employment<br/><br/></u></strong><strong>What you will get in return:<br/></strong><ul><li>70% discount on HelloFresh or Green Chef boxes</li><li>Premium Headspace membership</li><li>Life Assurance</li><li>Cycle to Work benefit</li><li>Unlimited access to our Employee Assistance Programme- If in the office, enjoy a Free breakfast every day</li><li>Learnerbly membership with up to £75 per year to spend on your development <br/></li></ul><strong><u>Upon Passing Probation<br/></u></strong><ul><li>Company pension scheme</li><li>Classpass membership</li><li>Private Health Insurance with BUPA <br/></li></ul>Further details will be provided upon the start of your employment.<br/><br/><strong><u>Level And Progression<br/><br/></u></strong>A Lead brings specialist skills to one business area, running complex operational tasks and leading projects.<br/><br/>From there, you can progress to a Manager level within the same function, or progress sideways to a role in another team at HelloFresh for which you have transferable skills.<br/><br/><strong>Start date</strong>: ASAP<br/><br/><strong>Location</strong>: The HelloFresh Farm, 60 Worship Street, EC2A 2EZ, London<br/><br/><strong>Recruitment process</strong>: First, you will have a phone interview with a member of our Talent Acquisition team. Should you be successful, you will be asked to complete a competency interview and, depending on the result, you will be invited for an additional interview including a case study review.<br/><br/>We are convinced that diversity is what makes our teams stronger: whatever your identity or background might be, you will have something invaluable to offer to this company. We want to know what it is! Please apply.<br/><br/>Please note that all our sites in the UK are wheelchair accessible.<br/><br/><strong>6021</strong>","procurement, strategic sourcing, supplier management, cost savings, vendor selection, supplier negotiations, market analysis, supply chain management, protein procurement, data analysis, Google Suite, MS Office, stakeholder management, problem solving, change management, cross-functional collaboration, analytical skills, quantitative analysis","purchase_manager_manufacturing_industry, asst_purchase_raw_materials, sr_account_manager_wholesale_us_based, customer_supply_chain_manager, associate_vendor_project_manager_must_cro_pharma_clinical_trials_experience","0.845, 0.772, 0.761, 0.740, 0.725"
electrical_project_manager,"<strong><u>Job Description</u></strong><p><br/></p><strong>ELECTRICAL PROJECT MANAGER</strong><p><br/></p>Gpac is a national executive search firm for the nation’s premier electrical contractors and industry professionals. Gpac has been retained by a confidential client to conduct a search for the position of <strong>Electrical Project Manager. </strong><p><br/></p><strong><u>Electrical Project Manager Compensation &amp; Benefits</u></strong><p><br/></p>Total compensation for the <strong>Electrical </strong><strong>Project Manager</strong> is between $85,000 and $120,000 depending on experience and maybe more than this range for candidates with exceptional experience and a successful history of performance.<p><br/></p><ul><li>Competitive base salary</li><li>Bonus potential</li><li>Health insurance package</li><li>401K</li></ul><p><br/></p><strong><u>Description Of Duties &amp; Scope</u></strong><p><br/></p><ul><li>Develop and build strong teams for each project while delivering quality output, meeting customer expectations, managing to scope, delivering on time, and delivering within budget.</li><li>Drive division profitability through effective project execution.</li><li>Develop and lead project management technical and schedule goals, procurement and contractual requirements, personnel assignments and capacity planning.</li><li>Evaluate and continually improve the systems and processes used by the department to effectively meet customer requirements and profitability goals.</li><li>Manage, mentor, and develop a group of approximately 3 direct and 10 total reports.</li><li>Review the overall contractual requirements for all projects and specific process design methodology for individual projects as required.</li><li>Ensure schedule requirements are met for all projects. Readily adjust priorities and milestones based upon changing customer needs, resource availability, and job requirements.</li><li>Interact with the customer to validate expectations are understood and met before, during and after project completion.</li><li>Provide oversight for third-party construction firms.</li><li>Manage project review process with particular emphasis on financial forecasting.</li><li>Ensure high-quality engineering, studies, and Helix project delivery.</li><li>Proactively and systematically communicate challenges, risks and successes.</li><li>Oversee invoice per project terms and negotiate appropriate change orders.</li></ul><p><br/></p><strong><u>Qualifications</u></strong><p><br/></p><ul><li>At least 5 years of project management experience in electrical construction.</li><li>Field experience coordinating with construction management.</li><li>Extensive knowledge of project scheduling, bids, take offs, change orders, and contracts.</li><li>Demonstrated ability to develop relationships and assist in winning projects</li><li>Demonstrated ability to run a profitable portfolio.</li><li>Exceptional initiative, execution and communication skills, both oral and written.</li><li>Exceptional analytical, motivational, and leadership skills.</li><li>Journeyman or Master Electrician's license a plus.</li></ul><p><br/></p><strong><u>Preferred But Not Necessary</u></strong><p><br/></p><ul><li>College Degree</li></ul><p><br/></p><strong>Take the next step in your career. APPLY NOW!</strong> <strong>Please contact Ben Broers directly for more information at (605)-937-5246 or ben.broers@gogpac.com</strong><p><br/></p>All qualified applicants will receive consideration without regard to race, age, color, sex (including pregnancy), religion, national origin, disability, sexual orientation, gender identity, marital status, military status, genetic information, or any other status protected by applicable laws or regulations. GPAC (Growing People and Companies) is an award-winning search firm specializing in placing quality professionals within multiple industries across the United States since 1990. We are extremely competitive, client-focused and realize that our value is in our ability to deliver the right solutions at the right time.","electrical project management, team building, customer relationship management, budget management, scope management, procurement, contract management, personnel management, capacity planning, process improvement, mentoring, schedule management, financial forecasting, third-party oversight, change order negotiation, electrical construction, construction management, project scheduling, bid preparation, take offs, relationship development, business development, profitability management, analytical skills, leadership, Journeyman Electrician, Master Electrician","tmt_commercial_manager, project_engineer_ii, mechanical_project_manager, unit_dealing_vice_president, electrical_field_construction_coordinator","0.764, 0.693, 0.673, 0.666, 0.662"
travel_allied_health_professional_ct_technologist,"PHP is seeking a travel CT Technologist for a travel job in Conroe, Texas.<br/><br/><strong>Job Description &amp; Requirements<br/><br/></strong><ul><li>Specialty: CT Technologist</li><li>Discipline: Allied Health Professional</li><li>Start Date: ASAP</li><li>Duration: 13 weeks</li><li>36 hours per week</li><li>Shift: 12 hours, days</li><li>Employment Type: Travel<br/><br/></li></ul>PHP Job ID #281716. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be determined.<br/><br/><strong>About PHP<br/><br/></strong>At PHP, you are always the first focus! For us, it isn’t simply about hiring staff, it’s about building a solid family of healthcare professionals by expanding their premium employment opportunities, guiding them through every step of the process, and providing them with the highest compensation and best benefit packages in the industry. With over 20 years of experience, travel contracts in all 50 states and internationally, and many industry awards and recognitions, Premier Healthcare Professionals focuses on quality, not quantity. That is our commitment!","CT Technologist, Allied Health Professional, travel healthcare","travel_rad_tech_per_week_franklin_nc, ct_tech, travel_technician_indianapolis_excellent_benefits, occupational_therapist_ot_travel_excellent_benefits, travel_nurse_rn_med_surg_telemetry_per_week","0.714, 0.708, 0.701, 0.651, 0.626"
azure_public_cloud_systems_engineer,"Mortgage Cadence, a wholly-owned subsidiary of Accenture, has been partnering with mortgage lenders since 1999, offering the industry’s only true one-stop shop mortgage technology solutions designed for point-of-sale through post-closing. In a time when efficiency, speed and the customer experience are paramount to the success of lenders, Mortgage Cadence offers the most reliable software and dedicated people, supporting lenders every step of the way. Each of our products has revolutionized the mortgage lending process in some way, changing the way lenders lend and borrowers finance.<br/><br/>As a software company, we think like a start-up, with every employee empowered and encouraged to be visionary. Teamwork and innovation define what we do as we take our customers into the future by providing the last lending solution they will ever need.<br/><br/>Role Description:<br/><br/>Provide systems architecture level support and engineering to guide a cloud transformation. Provide ongoing L2 L3 support and hands on during a cloud migration. Continue to support and enhance systems after the completion of the cloud migration. Position will help organization transform from a private on prem cloud environment to a public cloud.<br/><br/>Utilize native Azure services to meet the firm's technology and resiliency requirements. Drive Identity and access and configuration management, and monitoring strategy for Azure. Have a comfort level working with and supporting production systems running within a container framework.<br/><br/>Work with DevOps resources to design and implement cloud automation.<br/><br/>Assist in troubleshooting training and practices across all engineering<br/><br/>This position is the lead SME for our ongoing cloud transformation and will drive many large scale projects for many years.<br/><br/>Basic Qualifications:<br/><br/><li>3+ years experience working within Azure Public Cloud environment<br/><br/></li><li>3+ years experience working Windows Server background environment<br/><br/></li><li>3+ years Web Applications support experience<br/><br/></li><li>1+ year Microsoft SQL support experience<br/><br/></li>Preferred qualifications:<br/><br/><li>Experience working with Hybrid Networking concepts<br/><br/></li><li>Experience working with containers<br/><br/></li><li>Experience with Aqua Security or other comparable software<br/><br/></li><li>Experience with AKS and/or Service Fabric<br/><br/></li><li>Experience with infrastructure as code<br/><br/></li><em><strong>COVID-19 update:<br/><br/></strong></em><em>The safety and well-being of our candidates, our people and their families continues to be a top priority. Until travel restrictions change, interviews will continue to be conducted virtually.<br/><br/></em><em>Subject to applicable law, please be aware that Accenture requires all employees to be fully vaccinated as a condition of employment. Accenture will consider requests for accommodation to this vaccination requirement during the recruiting process.<br/><br/></em><em><strong>What We Believe<br/><br/></strong></em><em>We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. As a business imperative, every person at Accenture has the responsibility to create and sustain an inclusive environment.<br/><br/></em><em>Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities. Read more here<br/><br/></em><em><strong>Equal Employment Opportunity Statement<br/><br/></strong></em><em>Accenture is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation.<br/><br/></em><em>All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.<br/><br/></em><em>Accenture is committed to providing veteran employment opportunities to our service men and women.<br/><br/></em><em>For details, view a copy of the Accenture Equal Opportunity and Affirmative Action Policy Statement.<br/><br/></em><em><strong>Requesting An Accommodation<br/><br/></strong></em><em>Accenture is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. If you are hired by Accenture and require accommodation to perform the essential functions of your role, you will be asked to participate in our reasonable accommodation process. Accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired.<br/><br/></em><em>If you would like to be considered for employment opportunities with Accenture and have accommodation needs for a disability or religious observance, please call us toll free at 1 (877) 889-9009, send us an email or speak with your recruiter.<br/><br/></em><em><strong>Other Employment Statements<br/><br/></strong></em><em>Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States.<br/><br/></em><em>Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.<br/><br/></em><em>Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.<br/><br/></em><em>The Company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company's legal duty to furnish information.<br/><br/></em>","Azure, Windows Server, Web Applications, Microsoft SQL, Hybrid Networking, containers, Aqua Security, AKS, Service Fabric, infrastructure as code, cloud transformation, cloud migration, cloud automation, DevOps, identity and access management, configuration management, monitoring, troubleshooting","devops_systems_engineer_remote, senior_software_engineer, cloud_technical_solutions_developer_infrastructure_windows, senior_application_architect, sr_engineer_systems_reliability","0.837, 0.819, 0.779, 0.763, 0.753"
hiring_company_truck_drivers_cdl_earn_cpm,"Currently Hiring Company Truck Drivers (CDL-A Only).Apply today and within 24 hours you'll receive multiple job offers. Earn $.50 - $.80+ CPM! and up per year based on position. Simply select the driving job that offers you what is most important.Higher pay, increased benefits or more home-time: You choose.Avg. Company Driver Job Offers Salary: $85,000-$100,000+Avg. Owner Operator Job Offers Salary: $105,000-$180,000+ Apply now to receive your job offers!Pandologic.<br/><br/>Keywords: Truck Driver, Location: Frankfort, KY - 40622<br/><br/>","CDL-A, truck driving","local_dedicated_truck_driver_wanted, cdl_dedicated_teams_truck_drivers, cdl_truck_driver, cdl_otr_truck_driver_avg_weekly_sign_bonus, cdl_lease_purchase_driver","1.000, 0.878, 0.855, 0.825, 0.805"
rn_nurse_supervisor_oncology_fairlane_dearborn,"<strong><u>General Summary<br/><br/></u></strong>Under the direction of the Nurse Manager or Administration, assumes accountability for a clinic/department with eight or more staff members. (i.e. RNs, MAs, CSRs, etc.) Provides first line management responsibilities including clinical leadership and supervisory support to an assigned clinic/department. Performs duties of a Registered Nurse in the coordination and delivery of quality compassionate patient care. Utilizes the nursing process of assessment, planning, implementation, and evaluation to provide, delegate, supervise and document care and teaching of patients and families. Works in partnership with the Nurse Manager, the health care team and medical group leaders to ensure a quality practice setting that supports professional nursing practice and quality patient care. Demonstrates clinical competence. Participates in planning and budget development.<br/><br/><strong><u>Education/Experience Required<br/></u></strong><ul><li>Current license to practice in the State of Michigan as a Registered Nurse.</li><li>Bachelors Degree in Nursing or related field required.</li><li>Successful completion of Henry Ford Medical Group Pharmacology test.</li><li>Current BLS or ACLS certification per HFHS policy.</li><li>Clinical knowledge and analytical abilities necessary to formulate effective nursing care plans.</li><li>Ability to perform a wide variety of professional nursing services.</li><li>Ability to effectively communicate with patients, families, and medical group personnel.</li><li>Two to three years of nursing experience in a clinical environment.</li><li>Leadership experience preferred.</li><li>Basic computer knowledge and keyboarding skills.</li><li>Working knowledge of Word, Excel, and PowerPoint.</li></ul>","Registered Nurse, clinical leadership, supervisory support, nursing process, assessment, planning, implementation, evaluation, patient care coordination, delegation, supervision, documentation, patient teaching, family teaching, clinical competence, budget development, pharmacology, BLS certification, ACLS certification, nursing care plans, communication, leadership, computer skills, Word, Excel, PowerPoint","lpn_home_health, step_registered_nurse, lpn_homecare_evening_shift, registered_nurse, registered_nurse_hospice_home_health","0.878, 0.870, 0.870, 0.860, 0.847"
director_sales_marketing,"This position represents an opportunity to join one of the finest and most respected Hotel Management Companies in the world in a capacity that will have high visibility and great impact on the future posture and profitability of both the property and company. Leadership is well aware of the contribution that an effective, well-organized sales and marketing program will make to the company’s profitability.","hotel management, sales, marketing","dir_operations, associate_director_sales, front_house, director_finance, design_project_manager","0.712, 0.660, 0.658, 0.602, 0.601"
